XX,XX,XX,01,08,XX,12,16,18,19,XX,XX,XX,37,46,50,54,XX,XX,57,61,XX,63,XX,XX,72,85,XX,08,17,XX,XX,26,28,29,XX,XX,30,40,XX,41,46,47,XX,XX,53,XX,XX,XX,54,56,58,89,XX,XX,XX,05,10,12,XX,14,20,XX,XX,XX,24,34,37,40,XX,42,XX,49,XX,XX,XX,61,68,80,86,XX,0001
15,XX,18,21,XX,28,XX,XX,38,39,44,47,XX,53,XX,XX,XX,55,57,XX,59,XX,61,64,74,XX,XX,02,19,XX,XX,22,XX,27,30,XX,33,XX,36,37,41,XX,XX,XX,42,44,XX,69,XX,72,74,XX,XX,82,XX,XX,02,05,13,XX,24,30,XX,32,XX,41,44,XX,45,XX,XX,64,65,XX,XX,68,78,XX,XX,79,89,0002
01,06,12,15,XX,XX,XX,21,XX,XX,XX,34,XX,42,52,XX,53,58,70,72,77,XX,83,XX,84,XX,XX,15,21,XX,26,XX,XX,31,XX,32,35,XX,38,47,XX,XX,51,XX,53,XX,XX,XX,55,61,75,80,84,XX,03,06,XX,XX,XX,12,13,XX,17,20,30,38,45,50,XX,XX,XX,XX,XX,61,65,67,XX,82,XX,XX,85,0003
XX,XX,03,11,XX,16,22,XX,23,26,XX,30,35,39,XX,44,XX,XX,59,60,XX,63,65,XX,87,XX,XX,04,XX,05,17,35,XX,XX,36,XX,43,XX,XX,XX,44,XX,51,55,57,XX,XX,60,XX,67,XX,78,80,86,02,XX,06,XX,XX,14,32,XX,43,XX,XX,XX,45,48,XX,51,54,62,XX,XX,72,73,75,XX,XX,77,85,0004
04,XX,18,XX,19,XX,23,28,XX,XX,31,XX,33,34,XX,35,XX,37,39,XX,XX,56,XX,XX,81,84,86,XX,XX,10,XX,19,25,29,34,XX,XX,36,39,XX,43,50,XX,59,XX,66,XX,XX,67,78,XX,XX,81,83,XX,XX,04,14,XX,XX,19,25,27,30,XX,33,34,XX,36,XX,XX,37,46,XX,62,74,XX,XX,77,79,XX,0005
07,08,XX,11,XX,XX,16,XX,18,33,XX,XX,XX,38,41,XX,44,48,XX,52,65,67,68,XX,XX,XX,81,XX,01,09,23,26,XX,XX,34,XX,36,XX,XX,44,48,XX,50,52,XX,70,73,77,XX,XX,79,XX,84,XX,XX,04,12,24,29,31,XX,XX,XX,33,XX,42,XX,XX,44,46,XX,47,50,XX,55,57,58,62,XX,XX,XX,0006
14,XX,XX,XX,16,21,XX,28,31,XX,35,38,39,XX,44,XX,XX,52,56,57,XX,61,64,82,XX,XX,XX,01,XX,XX,13,18,21,27,XX,XX,33,39,XX,XX,XX,40,44,XX,45,XX,51,XX,54,69,77,89,XX,XX,02,XX,XX,XX,12,XX,20,23,29,XX,XX,32,XX,51,57,64,XX,74,77,78,XX,84,XX,XX,XX,86,90,0007
XX,02,15,XX,XX,17,25,XX,29,XX,XX,XX,35,48,XX,53,54,63,70,73,79,80,XX,86,XX,XX,XX,14,21,XX,24,28,XX,XX,31,XX,32,XX,36,42,XX,XX,43,XX,58,67,72,84,XX,XX,86,XX,87,XX,XX,XX,04,24,XX,26,31,XX,34,42,XX,50,53,XX,54,61,XX,XX,XX,XX,62,66,73,82,XX,84,XX,0008
XX,XX,02,10,XX,12,18,XX,25,43,XX,XX,45,48,XX,XX,51,52,XX,59,XX,72,73,XX,81,XX,85,15,XX,19,34,XX,XX,XX,36,37,40,53,62,XX,XX,XX,69,73,XX,74,XX,76,XX,XX,XX,77,78,85,08,09,12,XX,14,XX,XX,XX,20,XX,25,37,XX,46,51,XX,XX,56,XX,63,XX,67,XX,69,73,XX,89,0009
09,XX,15,XX,18,XX,XX,21,25,32,34,XX,40,XX,48,57,XX,XX,64,67,XX,XX,83,XX,84,XX,88,XX,10,17,XX,XX,XX,24,30,37,38,41,45,XX,46,XX,XX,51,XX,54,57,65,79,XX,XX,XX,81,XX,XX,07,16,XX,19,XX,XX,23,27,XX,XX,XX,31,33,35,42,XX,45,48,XX,60,XX,79,83,XX,XX,90,0010
01,02,03,XX,10,24,XX,XX,XX,30,40,XX,XX,XX,52,61,XX,72,73,80,XX,84,XX,85,XX,88,XX,XX,01,08,XX,12,13,XX,XX,14,19,27,XX,40,XX,XX,46,52,XX,XX,56,64,72,XX,XX,76,84,XX,XX,11,14,XX,XX,16,21,XX,30,XX,36,37,38,XX,XX,53,55,XX,59,79,81,XX,86,XX,XX,XX,87,0011
XX,XX,11,28,30,32,34,XX,XX,XX,35,38,69,XX,70,XX,XX,78,81,XX,82,XX,83,86,XX,XX,89,XX,12,XX,19,20,XX,XX,21,22,28,XX,31,36,XX,61,XX,XX,70,78,XX,81,82,86,XX,87,XX,XX,XX,04,06,13,XX,XX,14,XX,26,35,36,XX,XX,41,XX,44,51,XX,XX,52,61,XX,72,XX,79,84,XX,0012
11,XX,13,21,XX,28,XX,XX,32,XX,34,38,XX,39,54,XX,XX,59,60,XX,73,XX,XX,75,79,XX,84,XX,04,XX,11,XX,XX,14,32,33,37,38,45,XX,XX,XX,51,54,XX,XX,56,XX,XX,XX,60,62,78,89,XX,XX,XX,14,15,24,XX,31,33,39,XX,50,XX,XX,XX,58,63,65,XX,66,71,XX,78,XX,80,82,XX,0013
