04,11,XX,19,XX,27,33,39,41,44,45,46,50,XX,53,XX,66,XX,74,82,XX,XX,XX,XX,XX,XX,XX,0000
XX,01,04,10,14,XX,16,XX,28,XX,30,52,XX,55,XX,58,61,XX,65,74,80,86,XX,XX,XX,XX,XX,0001
XX,03,07,XX,11,21,XX,23,XX,44,XX,46,XX,53,XX,64,67,68,74,82,87,XX,90,XX,XX,XX,XX,0002
01,XX,11,16,XX,32,XX,34,38,45,XX,55,63,XX,66,XX,76,XX,79,83,86,XX,87,XX,XX,XX,XX,0003
20,XX,26,28,XX,37,42,43,44,XX,51,59,XX,69,76,80,82,XX,85,90,XX,XX,XX,XX,XX,XX,XX,0004
01,12,14,25,XX,27,XX,30,XX,38,47,XX,48,XX,50,51,XX,68,XX,74,XX,83,88,XX,XX,XX,XX,0005
12,18,XX,23,25,27,30,41,XX,46,XX,57,61,64,XX,73,74,85,90,XX,XX,XX,XX,XX,XX,XX,XX,0006
02,09,10,XX,11,14,XX,22,28,46,53,55,XX,58,60,69,77,XX,79,XX,XX,XX,XX,XX,XX,XX,XX,0007
07,12,13,XX,33,35,39,XX,41,45,XX,55,XX,64,65,70,XX,72,XX,79,XX,84,XX,XX,XX,XX,XX,0008
XX,08,XX,10,XX,12,XX,15,XX,16,24,37,51,XX,54,XX,61,68,XX,70,71,82,XX,83,XX,XX,XX,0009
XX,08,XX,09,XX,10,18,30,32,47,49,51,57,58,XX,70,76,XX,81,XX,83,XX,XX,XX,XX,XX,XX,0010
04,XX,15,XX,17,XX,18,XX,19,22,50,XX,51,XX,67,XX,70,73,76,79,80,81,XX,XX,XX,XX,XX,0011
XX,06,XX,07,XX,14,33,44,XX,45,57,59,XX,60,61,63,XX,67,78,88,XX,90,XX,XX,XX,XX,XX,0012
XX,01,XX,12,XX,16,XX,29,36,40,44,45,54,61,XX,70,XX,76,84,XX,85,89,XX,XX,XX,XX,XX,0013
XX,07,XX,09,10,XX,11,28,38,XX,45,XX,48,55,XX,58,66,72,XX,74,XX,86,XX,89,XX,XX,XX,0014
12,XX,22,24,27,34,36,43,53,XX,58,74,XX,75,XX,78,XX,81,XX,84,XX,88,XX,XX,XX,XX,XX,0015
XX,08,XX,11,XX,18,21,23,27,XX,37,39,44,57,XX,61,XX,62,66,74,79,XX,XX,XX,XX,XX,XX,0016
XX,06,08,17,XX,23,30,XX,32,XX,39,41,42,XX,48,49,52,XX,69,70,78,XX,XX,XX,XX,XX,XX,0017
01,07,08,XX,10,17,18,XX,19,23,44,55,58,XX,60,XX,69,XX,77,XX,86,XX,XX,XX,XX,XX,XX,0018
02,04,13,18,31,41,43,XX,44,XX,53,XX,54,63,XX,80,83,XX,88,90,XX,XX,XX,XX,XX,XX,XX,0019
XX,08,09,XX,12,13,26,29,35,42,XX,51,XX,67,70,75,XX,85,87,XX,89,XX,XX,XX,XX,XX,XX,0020
01,XX,02,XX,05,25,XX,27,XX,30,50,56,64,65,66,67,XX,73,86,88,XX,XX,XX,XX,XX,XX,XX,0021
01,XX,05,XX,13,21,25,XX,27,47,XX,50,52,56,58,63,XX,80,84,XX,87,XX,XX,XX,XX,XX,XX,0022
XX,10,12,XX,14,18,XX,21,25,29,XX,49,XX,56,61,XX,68,74,85,86,XX,89,XX,XX,XX,XX,XX,0023
02,XX,05,XX,10,XX,13,15,XX,17,24,27,35,40,46,XX,59,XX,63,66,86,XX,XX,XX,XX,XX,XX,0024
01,10,22,XX,23,29,XX,31,33,XX,53,57,59,XX,64,XX,65,71,XX,73,XX,79,XX,XX,XX,XX,XX,0025
04,23,XX,31,XX,43,XX,45,XX,48,53,60,XX,61,XX,67,73,XX,76,82,85,XX,87,XX,XX,XX,XX,0026
XX,21,26,29,34,45,49,XX,50,XX,54,XX,63,64,68,70,77,XX,83,XX,88,XX,XX,XX,XX,XX,XX,0027
