XX,12,21,XX,XX,23,36,XX,49,51,54,XX,XX,57,XX,60,XX,69,XX,XX,XX,73,75,77,XX,80,82,03,XX,09,14,15,23,XX,XX,XX,XX,26,27,XX,32,37,XX,42,XX,61,70,XX,XX,73,XX,XX,83,90,XX,XX,XX,01,XX,05,06,07,15,XX,16,24,XX,28,XX,XX,44,47,XX,49,55,60,XX,XX,78,XX,90,0501
04,XX,06,08,XX,XX,10,XX,14,XX,17,XX,30,XX,34,38,XX,43,XX,XX,48,58,65,79,XX,90,XX,XX,08,XX,09,XX,18,XX,20,30,XX,32,XX,34,XX,40,41,XX,55,XX,58,XX,XX,65,66,XX,73,84,01,XX,21,XX,30,XX,31,32,XX,XX,XX,44,XX,46,XX,52,54,58,65,73,XX,77,XX,85,XX,XX,89,0502
03,11,XX,XX,15,XX,54,55,XX,59,XX,65,67,XX,XX,XX,72,74,76,XX,XX,84,XX,86,88,XX,90,02,XX,03,XX,12,22,23,XX,XX,27,XX,28,XX,36,37,44,XX,XX,56,XX,XX,XX,65,66,77,85,XX,06,XX,XX,10,XX,25,32,34,XX,42,XX,XX,XX,47,56,XX,63,69,XX,70,84,86,87,XX,88,XX,XX,0503
XX,05,06,07,08,XX,XX,XX,29,32,39,XX,46,48,53,XX,XX,XX,XX,XX,58,XX,68,70,79,88,XX,13,23,36,39,XX,XX,XX,40,XX,XX,46,56,58,XX,XX,59,60,XX,XX,XX,XX,65,70,72,76,XX,78,XX,XX,03,XX,15,19,21,XX,28,29,39,XX,40,50,XX,57,XX,XX,58,XX,59,64,XX,XX,XX,76,85,0504
03,XX,XX,04,XX,06,11,17,XX,XX,18,29,32,XX,XX,XX,38,42,XX,60,63,64,XX,67,XX,XX,85,XX,02,03,07,31,XX,32,XX,XX,XX,46,48,54,61,XX,XX,64,XX,XX,XX,67,69,71,XX,81,86,XX,XX,03,XX,07,XX,11,XX,13,14,XX,27,48,XX,51,XX,58,61,XX,63,XX,XX,70,XX,74,76,XX,90,0505
XX,XX,12,XX,15,22,XX,25,27,32,36,XX,39,XX,54,XX,61,XX,62,79,XX,82,85,XX,90,XX,XX,XX,08,XX,XX,13,14,XX,25,30,34,44,51,XX,XX,61,XX,XX,73,75,77,80,XX,XX,XX,85,87,XX,XX,13,XX,XX,15,19,XX,22,37,40,41,44,XX,48,XX,51,XX,XX,XX,61,65,73,XX,XX,75,76,XX,0506
XX,09,14,16,XX,19,XX,XX,23,37,50,XX,XX,XX,59,62,63,XX,65,XX,XX,70,72,80,83,XX,XX,XX,XX,18,24,XX,33,37,XX,45,46,XX,50,XX,52,XX,53,58,XX,62,71,XX,XX,XX,XX,75,82,89,06,XX,XX,XX,08,09,11,15,XX,XX,21,41,XX,XX,49,XX,51,64,XX,67,72,XX,83,XX,84,XX,87,0507
08,15,XX,20,32,XX,37,XX,XX,XX,XX,XX,XX,43,45,46,47,50,58,71,82,XX,85,XX,XX,XX,88,XX,05,XX,10,13,XX,15,25,XX,XX,43,XX,44,47,XX,56,XX,58,69,70,XX,73,XX,XX,76,XX,85,XX,02,10,XX,15,XX,19,28,XX,33,53,XX,61,70,XX,72,XX,XX,76,80,81,XX,XX,85,88,XX,XX,0508
XX,09,XX,XX,XX,29,35,43,51,54,57,XX,XX,XX,60,XX,64,65,68,XX,72,73,XX,77,XX,81,XX,XX,05,07,XX,13,XX,18,22,XX,XX,31,42,55,XX,56,57,XX,XX,XX,XX,61,69,XX,77,XX,83,89,19,XX,XX,22,XX,31,38,41,XX,46,XX,XX,XX,48,53,55,XX,56,57,XX,59,64,70,XX,86,XX,XX,0509
XX,05,06,08,XX,XX,15,18,XX,XX,19,26,XX,XX,XX,32,39,44,XX,48,72,76,XX,XX,85,XX,87,06,07,XX,10,11,XX,XX,XX,16,XX,XX,26,29,38,XX,42,56,XX,XX,60,62,71,XX,78,XX,90,XX,01,XX,XX,06,XX,11,16,XX,22,24,26,XX,XX,XX,27,30,37,XX,43,65,XX,XX,XX,71,XX,79,89,0510
XX,XX,01,15,18,19,XX,24,XX,XX,26,33,35,XX,XX,43,46,XX,XX,55,XX,66,73,XX,XX,83,86,04,XX,19,XX,XX,30,37,40,XX,XX,XX,56,63,XX,XX,64,65,70,71,72,74,XX,XX,XX,XX,80,88,05,XX,14,XX,XX,15,XX,22,23,30,XX,31,XX,33,XX,41,44,XX,XX,XX,45,65,XX,82,86,XX,89,0511
13,16,XX,XX,19,26,XX,XX,29,XX,XX,31,XX,34,37,XX,58,73,78,79,XX,XX,85,XX,87,90,XX,06,09,XX,12,XX,15,19,XX,XX,25,XX,XX,XX,27,XX,29,36,37,47,65,80,XX,88,XX,XX,XX,90,XX,02,06,XX,XX,10,17,23,XX,39,XX,41,XX,50,XX,52,63,XX,69,75,XX,XX,87,XX,89,XX,90,0512
02,05,XX,XX,12,XX,17,XX,25,XX,34,43,XX,XX,47,48,XX,57,58,63,XX,XX,XX,66,81,87,XX,XX,03,07,25,XX,35,48,XX,XX,XX,XX,59,63,XX,68,XX,69,70,72,76,XX,XX,79,83,XX,XX,87,11,13,XX,14,XX,20,XX,29,XX,33,XX,36,46,50,62,XX,XX,XX,XX,67,XX,XX,69,70,79,XX,89,0513
06,XX,11,XX,XX,21,23,XX,32,XX,34,XX,35,38,41,XX,58,XX,59,XX,62,XX,72,XX,XX,74,80,XX,XX,21,25,29,XX,37,38,XX,40,46,48,57,XX,XX,58,XX,XX,67,71,77,84,XX,XX,XX,89,XX,17,18,25,36,XX,XX,XX,39,XX,41,XX,XX,42,44,57,XX,XX,58,67,XX,76,77,XX,XX,XX,82,85,0514
XX,XX,01,XX,13,16,28,XX,29,40,XX,XX,53,XX,55,61,68,XX,69,XX,72,XX,80,83,XX,89,XX,XX,XX,XX,11,13,XX,14,27,29,32,45,XX,54,XX,55,XX,60,XX,63,XX,XX,XX,XX,69,77,83,90,XX,01,06,12,17,XX,XX,18,XX,XX,XX,XX,21,26,29,30,XX,32,57,60,78,XX,80,XX,XX,85,XX,0515
XX,03,10,XX,14,15,21,XX,XX,XX,26,49,XX,XX,XX,50,59,68,XX,XX,70,79,XX,80,82,XX,90,07,XX,XX,18,25,XX,44,XX,52,XX,55,XX,63,XX,67,74,80,XX,81,85,XX,XX,XX,88,XX,89,90,13,XX,16,XX,XX,23,XX,28,35,41,XX,47,49,XX,XX,65,XX,67,XX,80,XX,84,87,XX,88,XX,89,0516
XX,04,XX,18,XX,20,29,31,XX,43,XX,44,49,XX,55,60,XX,XX,XX,XX,XX,67,74,81,89,90,XX,02,XX,XX,03,06,07,XX,XX,18,22,23,XX,32,40,XX,43,XX,XX,XX,XX,66,XX,73,XX,77,83,85,03,XX,12,XX,19,31,32,XX,XX,XX,XX,33,34,XX,37,XX,38,49,XX,54,XX,60,79,XX,86,89,XX,0517
XX,02,XX,10,15,19,XX,27,XX,XX,31,XX,XX,45,46,50,XX,53,XX,57,65,68,75,XX,XX,XX,78,XX,08,XX,10,14,25,28,XX,XX,30,35,42,XX,XX,XX,43,XX,48,52,XX,58,XX,XX,60,67,77,XX,XX,XX,XX,04,12,15,XX,20,23,XX,XX,29,30,XX,32,34,36,XX,40,XX,XX,52,XX,70,XX,72,73,0518
01,02,03,XX,08,XX,XX,10,XX,13,XX,XX,25,46,52,XX,64,XX,66,77,XX,85,XX,XX,XX,88,89,XX,03,06,08,23,XX,XX,36,XX,40,XX,XX,48,51,XX,52,61,XX,64,XX,69,XX,XX,XX,77,87,90,03,XX,08,XX,10,XX,16,XX,21,XX,XX,38,XX,44,54,64,65,XX,XX,73,74,79,XX,87,90,XX,XX,0519
05,XX,XX,XX,XX,08,14,18,21,22,XX,27,29,30,34,XX,XX,XX,40,XX,59,68,XX,81,87,XX,XX,XX,12,15,XX,XX,24,32,36,XX,XX,XX,XX,38,41,42,50,XX,60,68,75,77,86,XX,88,XX,XX,XX,XX,XX,05,08,XX,13,XX,14,18,XX,XX,19,24,25,XX,30,XX,34,XX,36,XX,XX,40,XX,47,75,86,0520
02,09,13,XX,XX,15,19,XX,XX,XX,XX,24,XX,29,XX,47,50,55,XX,58,XX,74,XX,82,XX,83,84,02,XX,04,16,24,28,XX,XX,XX,41,45,XX,46,XX,47,XX,XX,50,XX,60,61,65,XX,69,XX,82,XX,XX,01,08,34,XX,XX,35,XX,36,XX,39,XX,44,47,51,57,XX,XX,66,XX,XX,73,82,88,XX,XX,90,0521
03,09,16,39,XX,XX,XX,41,XX,XX,44,45,54,57,XX,62,XX,XX,69,70,XX,77,XX,79,XX,81,XX,01,03,XX,XX,22,30,XX,41,XX,XX,47,XX,XX,48,51,58,XX,64,XX,73,XX,XX,76,78,86,90,XX,XX,09,10,XX,XX,13,14,XX,20,34,XX,XX,46,XX,55,XX,56,57,XX,61,XX,64,65,68,XX,XX,77,0522
